id,bairro,quartos,preco_noite,avaliacao,ocupacao_pct
139,Copacabana,1,217,2.67,46.86
140,Leblon,5,1385,3.21,29.92
141,Barra da Tijuca,4,799,3.24,46.73
142,Copacabana,3,1503,2.7,99.24
143,Leblon,5,1082,3.98,79.93
144,Ipanema,4,1272,2.61,58.58
145,Copacabana,3,771,3.62,79.74
146,Barra da Tijuca,3,989,3.03,52.96
147,Barra da Tijuca,2,871,3.19,45.31
148,Flamengo,3,1035,3.71,40.95
149,Lapa,3,797,4.79,82.1
150,Botafogo,5,565,3.48,66.12
151,Leblon,1,1283,2.82,98.35
152,Flamengo,2,1426,3.24,54.79
153,Botafogo,3,1101,4.73,54.57
154,Botafogo,5,1943,3.72,78.28
155,Copacabana,5,436,4.76,64.02
156,Botafogo,1,140,2.57,73.16
157,Lapa,4,831,2.75,81.38
158,Barra da Tijuca,3,512,2.9,20.67
159,Flamengo,4,942,4.56,94.02
160,Botafogo,1,1456,2.77,99.73
161,Copacabana,5,1929,4.67,25.55
162,Lapa,4,1889,4.1,52.71
163,Ipanema,1,1721,4.06,27.6
164,Barra da Tijuca,4,914,2.53,55.95
165,Barra da Tijuca,5,1133,3.83,99.28
166,Flamengo,3,807,2.54,36.37
167,Barra da Tijuca,2,1999,4.02,69.15
168,Botafogo,5,1477,4.86,83.77
169,Copacabana,4,1539,3.08,99.89
170,Barra da Tijuca,3,1993,4.87,23.31
171,Barra da Tijuca,2,388,2.52,55.94
172,Ipanema,1,258,2.52,61.47
173,Ipanema,3,846,3.44,56.8
174,Leblon,5,1384,3.02,76.97
175,Lapa,4,1737,3.87,71.07
176,Botafogo,2,424,3.14,96.88
177,Barra da Tijuca,3,519,4.64,68.61
178,Barra da Tijuca,2,876,2.84,41.2
179,Copacabana,2,1811,4.39,89.94
180,Leblon,3,356,4.44,50.84
181,Lapa,4,629,2.94,92.0
182,Leblon,1,1992,3.23,68.15
183,Flamengo,3,1457,2.98,94.96
184,Lapa,1,1397,4.71,66.62
185,Barra da Tijuca,2,1441,3.45,66.47
186,Barra da Tijuca,2,885,4.17,89.57
187,Lapa,4,1595,2.78,46.85
188,Barra da Tijuca,3,1866,3.61,85.84
189,Botafogo,3,926,3.3,86.27
190,Lapa,5,224,2.53,66.86
191,Leblon,4,507,4.45,77.94
192,Lapa,3,1684,3.05,57.12
193,Barra da Tijuca,2,177,2.64,80.26
194,Botafogo,4,693,4.14,51.8
195,Botafogo,5,1040,3.7,91.37
196,Flamengo,5,249,4.23,21.96
197,Leblon,2,1252,3.13,76.43
198,Ipanema,3,888,3.93,34.95
199,Ipanema,2,1854,3.08,60.66
200,Lapa,5,1648,3.08,35.14
201,Flamengo,4,1817,3.59,75.71
202,Copacabana,3,1944,4.06,69.69
203,Lapa,2,1042,4.48,69.52
204,Flamengo,3,1710,4.53,89.34
205,Leblon,4,1357,3.46,75.04
206,Leblon,5,1313,4.52,52.27
207,Leblon,2,741,4.84,50.34
208,Leblon,5,1191,4.81,42.63
209,Leblon,2,767,2.82,79.48
210,Flamengo,3,1793,4.9,64.84
211,Flamengo,1,1047,4.66,73.43
212,Botafogo,2,985,2.79,30.69
213,Ipanema,2,1357,3.2,24.94
214,Barra da Tijuca,5,1292,4.19,98.33
215,Leblon,1,981,4.55,35.88
216,Copacabana,1,1743,3.85,31.03
217,Barra da Tijuca,1,1239,2.9,82.46
218,Flamengo,1,820,2.83,79.84
219,Copacabana,4,1092,2.54,20.93
220,Copacabana,3,378,3.36,32.92
221,Copacabana,2,278,2.51,20.72
222,Botafogo,3,192,4.52,39.42
223,Flamengo,3,669,3.69,38.46
224,Copacabana,3,1329,2.76,25.29
225,Leblon,3,665,3.37,42.66
226,Lapa,4,525,4.49,32.46
227,Copacabana,5,102,4.16,32.18
228,Botafogo,4,1865,4.61,26.07
229,Barra da Tijuca,2,1137,3.1,96.9
230,Flamengo,1,1371,2.99,58.58
231,Botafogo,5,970,3.76,21.49
232,Copacabana,2,1103,3.35,36.53
233,Flamengo,1,1604,4.55,39.83
234,Lapa,4,517,3.66,53.53
235,Copacabana,3,1446,2.76,41.69
236,Botafogo,2,371,2.85,44.19
237,Ipanema,3,203,3.1,79.89
238,Leblon,3,330,2.62,95.79
239,Barra da Tijuca,3,935,2.68,91.23
240,Botafogo,5,789,3.25,62.53
241,Flamengo,1,1836,2.87,31.11
242,Copacabana,3,1771,3.34,56.78
243,Leblon,2,334,4.05,28.95
244,Copacabana,5,1894,4.0,88.75
245,Flamengo,1,1092,3.13,44.93
246,Copacabana,2,1740,2.98,20.57
247,Ipanema,5,1481,2.68,37.52
248,Leblon,5,1063,4.87,31.01
249,Leblon,1,1659,2.89,70.58
250,Flamengo,3,1561,3.11,29.88
251,Barra da Tijuca,2,1500,4.68,58.68
252,Ipanema,4,1445,4.28,72.72
253,Botafogo,3,665,3.94,41.78
254,Copacabana,4,138,3.58,85.0
255,Lapa,2,1508,4.71,74.24
256,Copacabana,4,1758,2.59,64.89
257,Copacabana,4,351,2.84,21.06
258,Botafogo,1,846,4.07,63.16
259,Copacabana,1,1079,3.24,67.18
260,Ipanema,1,1276,3.03,21.27
261,Ipanema,4,1473,4.01,71.47
262,Leblon,4,718,3.77,66.03
263,Flamengo,5,1740,3.8,61.37
264,Barra da Tijuca,5,136,4.41,55.69
265,Lapa,1,1307,2.81,36.95
266,Copacabana,5,605,3.82,37.71
267,Copacabana,3,1389,4.95,21.64
268,Botafogo,5,1774,3.62,77.49
269,Flamengo,5,1264,3.09,20.67
270,Ipanema,3,1374,3.39,24.52
271,Lapa,3,1072,2.83,29.61
272,Leblon,2,200,4.74,93.54
273,Ipanema,4,1350,2.62,44.25
274,Flamengo,4,1843,2.71,49.98
275,Barra da Tijuca,1,134,3.01,62.39
276,Leblon,2,916,4.66,97.28
277,Barra da Tijuca,2,281,4.66,73.22
278,Botafogo,2,1373,3.87,92.41
279,Botafogo,2,534,3.3,39.04
280,Copacabana,5,978,3.64,44.04
281,Barra da Tijuca,2,1393,4.56,55.4
282,Flamengo,1,804,4.01,29.67
283,Lapa,4,999,4.36,80.45
284,Leblon,2,219,2.77,84.88
285,Ipanema,4,346,3.53,47.74
286,Flamengo,3,1353,3.61,34.26
287,Flamengo,1,292,3.15,60.32
288,Botafogo,3,1922,4.19,74.99
289,Barra da Tijuca,2,1444,4.06,89.09
290,Copacabana,5,577,2.69,45.91
291,Copacabana,5,645,3.48,44.82
292,Leblon,1,540,4.92,61.96
293,Botafogo,2,1132,3.27,35.92
294,Flamengo,2,240,3.99,36.45
295,Lapa,2,367,3.13,99.48
296,Botafogo,2,1235,2.62,45.68
297,Leblon,1,812,3.9,27.36
298,Leblon,1,257,4.99,48.11
299,Botafogo,1,534,3.03,57.24
300,Leblon,5,699,4.38,81.54
301,Botafogo,2,1052,4.79,67.08
302,Ipanema,3,352,4.28,95.74
303,Botafogo,4,1501,4.11,90.57
304,Barra da Tijuca,1,290,3.91,46.22
305,Botafogo,1,627,3.4,34.16
306,Leblon,5,1127,2.86,84.98
307,Barra da Tijuca,5,705,3.62,62.18
308,Leblon,4,375,3.61,87.14
309,Copacabana,5,1889,2.89,68.87
310,Copacabana,1,1362,2.82,69.94
311,Barra da Tijuca,2,701,4.47,66.67
312,Ipanema,2,580,2.71,56.71
313,Copacabana,5,1906,2.57,83.62
314,Botafogo,4,587,3.03,61.23
315,Leblon,2,1906,3.29,73.28
316,Copacabana,1,1673,2.52,73.02
317,Copacabana,2,775,4.44,74.8
318,Ipanema,4,1204,4.67,26.08
319,Barra da Tijuca,5,1174,2.63,53.56
320,Barra da Tijuca,3,1978,4.45,75.25
321,Flamengo,2,325,4.04,41.1
322,Ipanema,1,1020,4.02,69.79
323,Botafogo,4,1734,4.67,55.11
324,Barra da Tijuca,2,1225,2.55,81.61
325,Leblon,3,232,3.48,26.3
326,Ipanema,5,174,3.16,55.8
327,Copacabana,2,1073,2.93,24.34
328,Leblon,4,1382,4.96,68.71
329,Leblon,2,1687,4.58,46.82
330,Copacabana,5,827,4.25,76.3
331,Ipanema,4,1412,4.92,53.87
332,Copacabana,3,1214,4.47,24.24
333,Flamengo,1,1404,3.27,89.49
334,Leblon,5,1527,3.38,66.66
335,Lapa,2,775,2.93,45.21
336,Lapa,3,1262,3.72,48.45
337,Botafogo,4,1112,4.53,36.82
338,Barra da Tijuca,4,395,4.67,26.97
339,Copacabana,4,1712,3.13,63.43
340,Copacabana,2,854,3.56,80.97
341,Botafogo,5,979,4.8,95.61
342,Botafogo,3,1057,2.9,84.03
343,Botafogo,4,394,2.98,95.04
344,Leblon,1,361,2.5,39.77
345,Flamengo,5,156,4.76,90.41
346,Copacabana,3,1901,3.63,41.22
347,Leblon,3,1105,2.78,53.05
348,Botafogo,4,1724,3.22,88.6
349,Copacabana,1,1823,3.74,84.59
350,Leblon,4,1642,2.9,21.06
351,Flamengo,5,1142,2.96,77.97
352,Leblon,2,743,4.96,35.0
353,Flamengo,5,941,4.14,57.57
354,Botafogo,1,608,3.29,73.77
355,Flamengo,2,271,2.72,24.63
356,Copacabana,3,467,4.96,44.95
357,Botafogo,4,1909,2.72,74.24
358,Copacabana,5,1554,3.05,61.04
359,Lapa,4,1468,2.74,21.05
360,Ipanema,5,511,3.39,98.22
361,Flamengo,4,380,4.36,40.39
362,Ipanema,2,705,4.74,94.13
363,Ipanema,4,230,2.88,66.99
364,Flamengo,1,1836,2.73,71.28
365,Botafogo,1,1878,3.81,44.79
366,Lapa,4,1868,4.18,57.55
367,Copacabana,3,559,4.62,47.19
368,Leblon,1,491,2.73,80.9
369,Copacabana,5,617,3.53,31.44
370,Leblon,4,1962,4.14,23.49
371,Copacabana,4,1962,2.73,42.8
372,Flamengo,1,649,4.61,82.18
373,Lapa,3,797,4.66,81.81
374,Leblon,5,684,3.21,31.57
375,Barra da Tijuca,1,604,3.57,81.24
376,Botafogo,1,356,4.35,51.91
377,Copacabana,2,695,4.23,84.15
378,Copacabana,1,1715,3.45,30.06
379,Leblon,5,1045,3.52,72.1
380,Botafogo,2,1853,3.95,99.13
381,Botafogo,3,1296,3.93,82.28
382,Flamengo,3,687,4.73,27.0
383,Barra da Tijuca,1,1527,3.3,55.85
384,Flamengo,5,403,2.77,90.59
385,Flamengo,3,1954,3.57,96.64
386,Flamengo,5,1120,2.67,47.94
387,Flamengo,5,665,4.28,58.15
388,Flamengo,2,961,4.15,47.48
389,Lapa,1,506,3.67,41.33
390,Botafogo,5,1096,4.3,95.69
391,Flamengo,5,1537,4.14,67.16
392,Botafogo,5,1761,4.81,60.39
393,Botafogo,1,989,4.69,90.51
394,Ipanema,2,1468,3.88,27.82
395,Lapa,5,675,3.87,58.01
396,Flamengo,4,1632,4.73,57.48
397,Copacabana,2,1234,3.98,48.74
398,Leblon,1,796,2.59,90.59
399,Barra da Tijuca,3,967,4.03,39.72
400,Copacabana,5,511,2.62,80.47
401,Lapa,4,628,4.42,94.91
402,Leblon,3,1748,3.57,38.97
403,Lapa,3,817,4.59,94.83
404,Botafogo,5,1887,4.3,33.67
405,Leblon,5,1236,4.35,75.85
406,Botafogo,3,1478,2.79,74.42
407,Copacabana,4,926,3.63,54.04
408,Copacabana,2,1397,4.99,50.54
409,Leblon,5,1772,4.1,96.96
410,Leblon,5,1048,3.53,70.82
411,Flamengo,1,1484,4.21,29.24
412,Lapa,5,1149,4.57,59.38
413,Flamengo,1,1992,4.63,93.05
414,Lapa,3,1602,3.4,95.11
415,Flamengo,4,1983,2.61,91.04
416,Botafogo,1,371,4.3,62.06
417,Leblon,1,463,3.26,66.35
418,Copacabana,2,659,4.49,55.93
419,Lapa,3,977,2.74,23.49
420,Lapa,1,1978,3.34,64.66
421,Copacabana,1,742,2.82,73.22
422,Flamengo,3,1608,3.67,47.88
423,Lapa,5,1999,3.11,45.96
424,Barra da Tijuca,4,1820,3.51,78.65
425,Botafogo,3,379,4.94,43.79
426,Leblon,2,104,3.55,77.25
427,Copacabana,2,463,3.96,20.04
428,Leblon,4,677,2.74,27.79
429,Barra da Tijuca,2,1442,3.38,36.14
430,Lapa,3,1547,3.26,48.06
431,Lapa,5,1537,3.4,84.06
432,Barra da Tijuca,2,1406,4.85,90.83
433,Copacabana,3,1866,2.5,86.24
434,Botafogo,2,492,2.66,80.44
435,Ipanema,1,652,3.72,59.72
436,Copacabana,1,1792,4.61,57.62
437,Ipanema,5,1736,2.6,92.09
438,Barra da Tijuca,1,1820,4.41,49.51
439,Flamengo,1,690,4.93,24.52
440,Ipanema,2,1497,4.62,45.78
441,Botafogo,2,1570,4.89,36.78
442,Flamengo,4,1537,4.1,23.95
443,Ipanema,5,339,4.04,59.3
444,Barra da Tijuca,1,1146,4.96,78.65
445,Flamengo,4,975,3.38,77.47
446,Barra da Tijuca,2,789,3.69,67.98
447,Ipanema,4,504,2.77,90.02
448,Barra da Tijuca,1,281,3.7,76.79
449,Botafogo,4,530,4.68,25.93
450,Ipanema,3,1718,4.02,47.0
451,Ipanema,5,1969,4.02,89.05
452,Ipanema,1,357,3.27,31.15
453,Copacabana,3,1313,2.58,75.8
454,Copacabana,4,221,3.96,86.63
455,Copacabana,1,814,3.44,50.06
456,Botafogo,4,1987,4.84,51.81
457,Flamengo,5,992,3.11,71.19
458,Barra da Tijuca,5,1948,2.6,89.16
459,Lapa,2,275,4.9,68.68
460,Ipanema,3,1260,4.24,36.07
461,Barra da Tijuca,5,641,3.09,41.48
462,Ipanema,3,1221,3.58,71.42
463,Botafogo,4,1797,4.82,96.64
464,Ipanema,3,1797,3.49,47.65
465,Copacabana,1,1994,4.24,59.41
466,Lapa,2,677,2.81,71.24
467,Leblon,3,1070,3.37,24.5
468,Ipanema,3,1842,3.22,74.24
469,Barra da Tijuca,5,137,3.24,60.38
470,Copacabana,1,1560,3.51,41.62
471,Leblon,5,858,4.81,47.87
472,Lapa,3,796,3.46,46.4
473,Leblon,4,444,2.8,58.74
474,Copacabana,5,1886,4.57,58.98
475,Flamengo,5,839,3.58,42.32
476,Flamengo,1,1659,4.89,61.86
477,Leblon,5,114,2.74,70.93
478,Botafogo,5,1443,3.45,84.57
479,Barra da Tijuca,2,1074,3.64,50.91
480,Barra da Tijuca,3,1985,4.17,22.85
481,Leblon,1,148,2.56,44.87
482,Ipanema,5,851,4.53,76.14
483,Ipanema,3,806,3.4,24.63
484,Barra da Tijuca,1,741,4.95,34.22
485,Barra da Tijuca,5,1596,3.11,50.84
486,Flamengo,4,1898,3.18,49.79
487,Botafogo,2,775,4.28,44.48
488,Copacabana,1,214,4.91,78.35
489,Ipanema,4,1854,4.09,23.99
490,Barra da Tijuca,1,1770,4.1,38.3
491,Flamengo,1,684,4.97,95.84
492,Lapa,2,1245,2.78,76.03
493,Flamengo,4,424,2.72,46.94
494,Ipanema,5,467,4.14,32.0
495,Ipanema,3,1985,2.81,58.23
496,Flamengo,4,218,2.75,59.0
497,Copacabana,1,948,3.69,96.35
498,Leblon,4,1740,4.9,71.24
499,Ipanema,3,429,4.14,47.76
500,Flamengo,4,1382,2.89,97.72
501,Barra da Tijuca,3,1306,3.63,34.55
502,Flamengo,2,1177,4.05,33.8
503,Botafogo,1,1582,4.44,99.43
504,Leblon,5,828,4.51,37.69
505,Lapa,4,683,3.52,53.43
506,Copacabana,2,978,3.99,45.61
507,Lapa,4,283,3.56,92.62
508,Leblon,2,1392,2.73,59.13
509,Leblon,3,1763,3.36,20.38
510,Leblon,2,1209,4.3,47.11
511,Lapa,3,104,3.14,82.12
512,Barra da Tijuca,2,217,4.96,38.34
513,Leblon,4,1476,3.51,66.2
514,Flamengo,5,589,2.68,93.53
515,Lapa,1,645,3.56,63.07
516,Leblon,5,1881,2.84,69.43
517,Flamengo,2,1091,4.94,98.24
518,Barra da Tijuca,3,688,4.48,28.11
519,Botafogo,4,1348,4.56,39.35
520,Barra da Tijuca,1,1257,2.59,41.83
521,Leblon,1,1120,2.97,40.82
522,Lapa,4,1743,3.43,90.12
523,Ipanema,2,229,4.5,41.34
524,Leblon,1,1943,4.09,65.41
525,Ipanema,4,242,3.38,65.31
526,Flamengo,2,1356,3.75,26.7
527,Botafogo,4,1289,4.64,63.15
528,Copacabana,1,1478,4.7,97.15
529,Barra da Tijuca,5,1036,2.92,76.7
530,Botafogo,1,1700,4.02,51.05
531,Leblon,1,1878,4.13,25.39
532,Ipanema,5,520,2.73,27.22
533,Barra da Tijuca,2,1830,2.72,80.73
534,Ipanema,4,1417,4.37,25.76
535,Lapa,2,840,3.48,88.76
536,Ipanema,2,621,3.57,20.71
537,Lapa,4,1103,4.27,20.94
538,Flamengo,2,1989,4.79,23.89
539,Barra da Tijuca,3,1691,3.45,25.1
540,Barra da Tijuca,1,197,4.43,33.24
541,Copacabana,3,1437,3.08,26.59
542,Leblon,4,1389,3.53,45.33
543,Lapa,5,1173,2.62,95.41
544,Copacabana,5,739,4.76,39.34
545,Ipanema,4,1465,4.99,27.48
546,Ipanema,4,726,4.3,22.91
547,Copacabana,2,1349,4.85,62.17
548,Barra da Tijuca,1,1605,3.4,98.54
549,Ipanema,3,1548,4.26,27.46
550,Flamengo,4,1084,2.63,53.06
551,Flamengo,5,1082,3.7,29.16
552,Copacabana,1,1996,4.52,62.86
553,Lapa,1,1957,2.63,61.5
554,Lapa,2,517,2.94,34.05
555,Copacabana,5,454,3.25,98.44
556,Lapa,1,1437,4.69,28.44
557,Barra da Tijuca,5,123,2.6,35.93
558,Barra da Tijuca,3,691,3.51,47.64
559,Lapa,5,1080,2.83,78.63
560,Flamengo,1,180,2.51,72.8
561,Lapa,5,195,4.02,83.59
562,Barra da Tijuca,5,1521,4.1,39.14
563,Botafogo,5,1983,4.9,40.98
564,Leblon,1,324,3.97,71.23
565,Ipanema,3,810,4.15,93.0
566,Botafogo,5,1009,3.99,78.22
567,Lapa,3,617,3.35,39.02
568,Flamengo,1,1646,2.84,98.41
569,Copacabana,4,510,2.94,59.01
570,Lapa,5,1945,4.75,42.87
571,Flamengo,3,189,3.78,79.03
572,Leblon,5,1560,4.41,95.25
573,Lapa,2,837,3.18,85.6
574,Barra da Tijuca,2,1404,4.85,85.73
575,Copacabana,1,1013,4.13,92.11
576,Flamengo,3,1110,4.84,62.61
577,Flamengo,3,1215,3.09,97.2
578,Flamengo,5,1435,2.99,28.45
579,Leblon,2,109,3.47,26.91
580,Lapa,5,967,4.88,49.11
581,Leblon,5,854,4.41,85.71
582,Ipanema,1,845,4.53,35.8
583,Ipanema,4,1373,4.85,53.06
584,Lapa,1,649,3.14,84.09
585,Barra da Tijuca,1,1997,4.85,89.23
586,Leblon,1,1746,3.92,39.45
587,Copacabana,5,733,4.48,52.94
588,Flamengo,5,1324,4.72,83.69
589,Flamengo,5,458,3.57,35.99
590,Lapa,5,1656,3.02,23.0
591,Barra da Tijuca,2,957,4.06,52.43
592,Ipanema,3,966,2.67,30.09
593,Ipanema,2,477,4.16,56.94
594,Flamengo,3,516,4.47,35.56
595,Lapa,5,252,4.57,41.1
596,Leblon,2,550,3.56,36.38
597,Ipanema,3,1910,2.9,43.5
598,Leblon,4,1839,2.87,60.87
599,Barra da Tijuca,1,1947,3.29,82.05
600,Ipanema,3,961,4.66,67.59
601,Ipanema,2,581,4.78,81.23
602,Botafogo,2,1555,3.28,53.79
603,Ipanema,4,268,4.51,25.39
604,Copacabana,3,791,3.53,44.49
605,Lapa,1,491,3.26,76.81
606,Lapa,2,589,4.4,42.8
607,Leblon,5,1426,3.36,61.85
608,Barra da Tijuca,5,817,2.96,26.66
609,Ipanema,3,1582,3.85,82.16
610,Copacabana,4,1232,4.1,59.97
611,Leblon,1,1547,4.22,69.95
612,Botafogo,3,656,3.46,46.0
613,Leblon,3,207,3.84,39.85
614,Leblon,1,416,4.19,90.14
615,Ipanema,2,538,3.78,62.1
616,Botafogo,5,683,3.25,90.08
617,Leblon,2,1167,4.22,71.29
618,Copacabana,4,1628,3.85,75.21
619,Copacabana,1,184,4.41,98.54
620,Lapa,2,950,4.69,20.89
621,Botafogo,3,452,5.0,34.97
622,Botafogo,3,1378,4.88,92.21
623,Lapa,4,1913,4.3,92.37
624,Leblon,4,1186,3.95,20.41
625,Botafogo,1,477,4.89,94.69
626,Copacabana,2,998,4.91,41.72
627,Copacabana,3,1097,4.98,51.94
628,Ipanema,1,428,4.39,20.6
629,Botafogo,1,1100,4.7,52.62
630,Leblon,3,450,3.18,96.55
631,Lapa,2,787,4.95,70.14
632,Lapa,5,1790,3.28,92.38
633,Leblon,4,1813,2.79,37.95
634,Barra da Tijuca,2,1262,4.07,32.7
635,Flamengo,5,328,3.96,84.31
636,Ipanema,5,1396,2.83,73.11
637,Lapa,3,1045,2.77,22.46
638,Botafogo,5,1791,3.6,69.51
639,Ipanema,4,1617,4.73,96.13
640,Botafogo,1,1685,3.98,78.57
641,Barra da Tijuca,2,1510,3.08,28.71
642,Copacabana,4,294,3.02,33.44
643,Ipanema,5,1081,2.69,20.55
644,Lapa,1,371,2.7,56.91
645,Ipanema,1,493,3.77,97.67
646,Ipanema,5,1945,2.99,88.27
647,Ipanema,4,677,3.14,40.28
648,Flamengo,5,532,4.37,84.62
649,Ipanema,2,273,2.86,53.8
650,Botafogo,1,720,3.73,77.84
651,Copacabana,3,1071,3.13,50.58
652,Barra da Tijuca,1,1223,4.29,46.91
653,Leblon,5,283,4.32,26.93
654,Ipanema,5,1905,3.2,55.77
655,Lapa,3,332,4.19,58.68
656,Ipanema,3,1113,3.97,24.35
657,Lapa,1,627,3.69,59.99
658,Botafogo,5,1198,3.91,22.12
659,Lapa,1,1378,3.65,99.27
660,Leblon,4,1505,3.8,70.74
661,Copacabana,5,650,2.96,36.4
662,Lapa,1,1823,3.23,91.39
663,Lapa,5,652,4.53,93.33
664,Copacabana,5,1786,2.85,69.13
665,Leblon,2,1920,4.03,41.26
666,Ipanema,1,110,2.86,75.66
667,Lapa,5,1261,4.35,21.17
668,Copacabana,3,291,3.93,47.23
669,Botafogo,3,1615,4.61,91.79
670,Copacabana,2,1395,2.95,99.01
